ra,dec,V,eV,I,eI
1 00 51.410,-33 39 57.700,20.296,0.008,20.156,0.023
1 04 22.080,-33 39 57.700,20.376,0.021,19.172,0.015
0 59 59.710,-33 39 57.800,20.085,0.007,19.899,0.019
1 00 14.690,-33 39 57.800,17.748,0.002,16.518,0.002
0 59 58.330,-33 39 58.100,22.679,0.046,22.382,0.150
0 59 20.040,-33 39 58.200,21.966,0.030,19.816,0.013
0 59 47.840,-33 39 58.200,20.246,0.008,19.692,0.015
1 00 26.520,-33 39 58.200,21.247,0.016,20.546,0.029
0 58 49.270,-33 39 58.600,20.406,0.009,19.898,0.016
0 59 37.260,-33 39 59.000,22.100,0.030,21.404,0.060
0 59 49.580,-33 39 59.000,20.467,0.010,19.612,0.014
1 00 56.590,-33 39 59.100,21.140,0.015,20.410,0.026
1 01 36.000,-33 39 59.100,21.762,0.049,21.307,0.127
0 58 50.800,-33 39 59.200,19.439,0.005,18.499,0.006
0 52 50.430,-33 39 59.300,19.396,0.009,17.188,0.003
1 00 41.570,-33 39 59.400,20.087,0.008,18.783,0.007
1 00 21.010,-33 39 59.500,21.238,0.016,20.534,0.029
0 59 18.230,-33 39 59.800,21.203,0.016,20.478,0.027
1 00 20.400,-33 39 59.800,22.196,0.032,21.725,0.083
0 59 59.540,-33 39 59.900,19.197,0.005,18.514,0.006
1 00 45.450,-33 39 59.900,18.619,0.003,17.653,0.004
1 00 58.000,-33 39 59.900,20.168,0.008,19.992,0.020
1 02 46.780,-33 40 00.000,17.680,0.003,16.813,0.003
1 01 40.480,-33 40 00.100,20.586,0.021,18.844,0.015
0 58 58.500,-33 40 00.200,21.392,0.017,20.730,0.032
1 03 44.170,-33 40 00.400,19.178,0.008,18.669,0.010
0 56 51.050,-33 40 00.500,20.536,0.013,19.765,0.020
0 59 32.940,-33 40 00.600,23.072,0.065,22.317,0.130
1 00 16.040,-33 40 00.700,20.465,0.010,19.680,0.014
0 59 08.820,-33 40 00.800,21.560,0.020,20.918,0.038
0 59 52.440,-33 40 00.800,20.184,0.008,19.482,0.013
1 00 42.380,-33 40 00.900,21.509,0.019,20.775,0.035
1 05 45.030,-33 40 00.900,19.524,0.007,17.320,0.003
0 59 50.980,-33 40 01.000,20.176,0.008,19.425,0.012
1 00 25.780,-33 40 01.000,21.512,0.019,20.832,0.037
1 00 04.050,-33 40 01.200,18.516,0.003,17.509,0.003
1 00 17.000,-33 40 01.300,22.706,0.048,22.441,0.157
0 53 07.290,-33 40 01.400,20.821,0.026,20.196,0.035
1 00 37.730,-33 40 01.400,22.477,0.039,22.274,0.136
1 07 28.910,-33 40 01.400,19.058,0.005,18.499,0.007
1 00 28.280,-33 40 01.500,22.837,0.053,22.457,0.156
0 59 22.980,-33 40 01.600,22.123,0.031,21.433,0.060
1 01 06.960,-33 40 01.600,21.204,0.015,20.481,0.028
1 06 45.090,-33 40 01.600,15.870,0.001,14.697,0.001
1 01 04.870,-33 40 02.000,21.459,0.019,20.694,0.033
1 00 20.050,-33 40 02.100,21.636,0.021,21.247,0.055
1 03 57.670,-33 40 02.200,18.444,0.005,17.675,0.005
1 00 02.390,-33 40 02.300,19.775,0.006,18.893,0.008
1 00 29.790,-33 40 02.300,21.882,0.025,21.207,0.051
1 00 50.990,-33 40 02.300,18.370,0.003,17.423,0.003
0 56 56.530,-33 40 02.400,20.223,0.010,20.074,0.026
1 06 56.030,-33 40 02.400,18.047,0.003,16.987,0.003
1 04 04.060,-33 40 02.500,18.233,0.004,17.238,0.004
1 06 40.830,-33 40 02.600,20.476,0.012,17.632,0.004
0 58 59.870,-33 40 02.900,22.360,0.036,21.852,0.086
1 00 13.560,-33 40 03.000,20.252,0.008,19.543,0.013
0 59 57.140,-33 40 03.100,20.236,0.008,19.394,0.012
0 59 26.690,-33 40 03.200,20.846,0.012,20.036,0.019
1 01 24.460,-33 40 03.200,20.795,0.012,18.837,0.006
0 59 31.350,-33 40 03.300,20.342,0.009,19.621,0.014
0 59 32.220,-33 40 03.300,22.103,0.029,21.452,0.063
1 00 24.040,-33 40 03.300,21.363,0.017,20.691,0.033
1 00 17.800,-33 40 03.500,22.607,0.045,22.004,0.103
0 59 59.900,-33 40 03.600,20.508,0.010,19.822,0.016
1 00 19.800,-33 40 03.600,18.575,0.003,17.562,0.003
0 59 56.480,-33 40 03.700,22.345,0.036,21.742,0.083
1 00 27.060,-33 40 03.900,20.165,0.008,19.303,0.011
1 00 25.000,-33 40 04.000,22.772,0.050,22.502,0.165
0 59 12.490,-33 40 04.100,21.957,0.026,21.671,0.078
1 01 46.930,-33 40 04.100,20.397,0.017,20.023,0.043
1 06 26.620,-33 40 04.100,14.435,0.001,13.588,0.001
0 59 04.850,-33 40 04.400,19.903,0.007,19.173,0.009
1 05 58.470,-33 40 04.500,19.100,0.005,17.308,0.003
0 57 50.060,-33 40 04.700,16.938,0.002,15.701,0.002
0 59 42.270,-33 40 04.700,20.843,0.012,20.041,0.019
0 59 47.930,-33 40 04.800,19.766,0.006,18.882,0.008
0 59 20.610,-33 40 05.300,19.477,0.005,18.584,0.006
0 59 42.900,-33 40 05.400,22.695,0.046,22.375,0.148
1 00 28.590,-33 40 05.500,20.252,0.008,20.181,0.024
1 01 04.470,-33 40 05.500,20.333,0.017,19.461,0.026
0 59 23.770,-33 40 05.900,20.255,0.008,19.596,0.013
1 04 26.520,-33 40 06.000,17.674,0.003,15.357,0.001
0 59 30.180,-33 40 06.100,22.864,0.053,22.343,0.138
1 06 36.380,-33 40 06.100,21.384,0.023,18.770,0.008
0 55 51.640,-33 40 06.200,17.233,0.002,16.472,0.002
1 00 21.590,-33 40 06.200,20.224,0.008,19.574,0.013
0 59 57.780,-33 40 06.300,20.112,0.008,19.905,0.019
1 00 16.270,-33 40 06.300,20.194,0.008,19.552,0.013
1 00 40.380,-33 40 06.500,22.427,0.038,22.150,0.121
1 04 03.280,-33 40 06.500,17.003,0.002,16.114,0.002
1 04 29.060,-33 40 06.500,20.251,0.019,19.342,0.018
0 58 48.550,-33 40 06.700,20.419,0.010,18.336,0.004
0 59 59.220,-33 40 06.700,19.392,0.005,18.513,0.006
0 59 53.310,-33 40 06.800,22.777,0.050,22.506,0.167
1 01 53.960,-33 40 07.000,19.621,0.012,17.454,0.006
1 02 42.680,-33 40 07.400,20.623,0.020,19.803,0.034
1 00 13.020,-33 40 07.500,20.575,0.010,19.860,0.017
0 56 47.020,-33 40 07.600,17.310,0.002,15.858,0.002
1 00 19.100,-33 40 07.600,18.543,0.003,17.630,0.004
0 59 19.030,-33 40 07.900,22.309,0.036,21.761,0.082
0 59 56.190,-33 40 08.000,22.309,0.034,21.964,0.104
0 58 43.470,-33 40 08.100,22.048,0.047,21.706,0.102
0 59 38.760,-33 40 08.200,20.247,0.008,19.572,0.013
1 00 21.280,-33 40 08.200,19.617,0.006,18.714,0.007
1 00 23.650,-33 40 08.200,19.101,0.004,18.201,0.005
1 00 28.850,-33 40 08.200,20.277,0.008,19.796,0.016
1 00 29.200,-33 40 08.200,22.677,0.048,21.957,0.097
1 00 33.950,-33 40 08.200,17.523,0.002,16.433,0.002
1 00 05.450,-33 40 08.300,22.132,0.030,21.814,0.092
0 59 55.480,-33 40 08.400,20.081,0.008,19.230,0.010
1 00 19.690,-33 40 08.400,18.978,0.004,17.986,0.004
0 58 47.720,-33 40 08.600,21.067,0.014,20.334,0.022
0 58 58.400,-33 40 08.600,21.223,0.015,20.477,0.026
0 56 44.080,-33 40 08.700,19.047,0.005,16.888,0.003
1 00 00.140,-33 40 08.700,21.505,0.019,20.780,0.036
1 00 29.910,-33 40 08.700,20.679,0.011,19.873,0.017
0 58 23.400,-33 40 08.800,21.000,0.021,20.215,0.029
1 00 41.920,-33 40 09.100,18.344,0.003,17.285,0.003
1 00 00.380,-33 40 09.300,20.712,0.011,19.975,0.018
1 01 35.940,-33 40 09.300,22.218,0.077,20.610,0.066
1 00 04.680,-33 40 09.400,21.741,0.023,21.104,0.048
1 06 33.110,-33 40 09.400,22.392,0.074,21.727,0.118
0 59 23.380,-33 40 09.500,21.712,0.023,21.047,0.044
1 00 43.000,-33 40 09.500,20.539,0.010,19.721,0.015
1 00 07.880,-33 40 09.600,21.271,0.016,20.500,0.028
1 02 50.460,-33 40 09.700,22.670,0.136,21.735,0.123
1 00 38.440,-33 40 09.800,20.153,0.008,19.938,0.019
1 01 00.830,-33 40 09.900,20.546,0.010,19.693,0.014
1 01 05.610,-33 40 10.000,20.160,0.008,19.460,0.012
0 59 59.010,-33 40 10.100,19.000,0.004,18.039,0.005
0 58 42.630,-33 40 10.200,21.725,0.036,21.225,0.067
0 59 55.390,-33 40 10.200,21.058,0.014,20.425,0.027
0 59 57.480,-33 40 10.200,21.265,0.016,20.520,0.029
1 06 05.340,-33 40 10.300,18.380,0.004,16.883,0.003
0 59 26.160,-33 40 10.400,22.035,0.049,21.391,0.080
0 59 16.930,-33 40 10.500,16.964,0.002,15.599,0.001
1 00 04.330,-33 40 10.500,21.997,0.028,21.262,0.054
1 05 39.200,-33 40 10.500,20.447,0.012,18.494,0.007
0 53 34.490,-33 40 10.600,22.957,0.184,20.259,0.033
1 00 01.890,-33 40 10.600,19.193,0.005,18.233,0.005
0 59 47.230,-33 40 10.700,22.153,0.029,22.491,0.181
1 00 57.870,-33 40 10.700,20.530,0.010,20.598,0.035
0 59 40.460,-33 40 10.800,23.153,0.070,22.319,0.130
1 00 15.350,-33 40 10.800,20.645,0.011,19.864,0.017
0 56 05.010,-33 40 10.900,22.890,0.082,20.995,0.049
1 00 03.990,-33 40 10.900,19.559,0.006,18.735,0.007
1 00 40.920,-33 40 10.900,22.200,0.032,21.726,0.082
1 00 59.600,-33 40 10.900,22.561,0.045,21.591,0.069
1 00 23.370,-33 40 11.100,21.121,0.015,20.324,0.024
0 59 57.660,-33 40 11.200,21.894,0.025,21.327,0.058
1 00 27.670,-33 40 11.300,19.800,0.006,19.141,0.010
0 59 21.000,-33 40 11.500,22.167,0.032,21.557,0.068
0 59 36.440,-33 40 11.500,16.761,0.001,16.166,0.002
0 59 38.420,-33 40 11.500,19.184,0.005,18.359,0.006
1 00 00.230,-33 40 11.700,21.852,0.025,21.179,0.051
0 55 50.440,-33 40 11.800,16.163,0.001,15.559,0.001
0 58 39.300,-33 40 11.900,22.492,0.068,21.965,0.127
0 59 54.630,-33 40 12.000,20.085,0.008,19.464,0.013
1 01 10.880,-33 40 12.100,17.169,0.002,16.272,0.002
0 59 02.320,-33 40 12.200,22.390,0.037,21.932,0.093
1 00 03.840,-33 40 12.300,19.714,0.006,18.849,0.008
1 05 56.930,-33 40 12.500,19.516,0.006,19.341,0.014
0 56 43.640,-33 40 12.600,20.647,0.013,20.016,0.022
0 59 13.670,-33 40 12.600,21.954,0.027,21.308,0.054
0 57 51.200,-33 40 12.800,19.776,0.009,19.069,0.012
1 00 11.370,-33 40 12.900,20.195,0.008,19.510,0.013
1 00 43.930,-33 40 12.900,22.331,0.035,21.742,0.081
0 59 45.660,-33 40 13.000,22.919,0.056,22.459,0.156
0 59 48.040,-33 40 13.000,21.422,0.018,20.685,0.033
1 00 00.380,-33 40 13.000,22.729,0.048,22.479,0.165
0 59 47.520,-33 40 13.300,19.028,0.004,18.088,0.005
0 59 13.190,-33 40 13.400,21.797,0.024,21.048,0.042
1 00 50.640,-33 40 13.600,21.812,0.024,21.187,0.052
0 59 15.870,-33 40 13.700,21.670,0.022,21.089,0.045
0 59 18.970,-33 40 13.700,20.465,0.010,19.610,0.013
1 00 30.380,-33 40 13.900,22.124,0.031,21.471,0.064
0 59 16.720,-33 40 14.300,18.221,0.003,16.755,0.002
1 00 28.650,-33 40 14.300,22.248,0.033,21.696,0.079
1 01 23.540,-33 40 14.400,21.112,0.015,19.083,0.008
1 00 24.140,-33 40 14.500,20.228,0.008,19.515,0.013
1 01 16.110,-33 40 14.500,21.710,0.022,21.045,0.044
1 00 54.180,-33 40 14.600,17.149,0.002,15.835,0.001
1 05 59.960,-33 40 14.600,18.689,0.004,17.378,0.003
0 59 04.820,-33 40 14.700,22.583,0.043,22.100,0.107
0 59 52.140,-33 40 14.900,19.979,0.007,19.167,0.010
1 00 15.850,-33 40 14.900,20.082,0.008,19.238,0.010
1 00 25.940,-33 40 14.900,18.844,0.004,17.902,0.004
0 59 30.860,-33 40 15.000,22.098,0.029,21.491,0.065
1 00 02.450,-33 40 15.100,20.619,0.011,19.881,0.017
0 59 58.870,-33 40 15.300,21.206,0.016,20.457,0.027
1 02 55.850,-33 40 15.300,22.988,0.176,22.407,0.224
1 00 42.910,-33 40 15.400,20.805,0.012,19.977,0.018
0 59 15.340,-33 40 15.500,21.652,0.021,21.006,0.042
0 58 30.560,-33 40 15.700,22.751,0.082,22.736,0.249
1 00 15.620,-33 40 15.900,21.776,0.023,21.254,0.055
1 00 46.340,-33 40 15.900,21.555,0.020,20.815,0.036
1 06 55.260,-33 40 15.900,19.348,0.006,18.561,0.008
0 57 33.480,-33 40 16.000,19.228,0.007,17.865,0.005
0 59 04.110,-33 40 16.200,19.775,0.006,19.473,0.012
0 59 52.270,-33 40 16.300,20.218,0.008,20.108,0.022
0 59 12.050,-33 40 16.400,20.704,0.011,19.490,0.011
0 59 47.400,-33 40 16.500,19.785,0.006,18.920,0.008
1 00 58.290,-33 40 16.500,19.919,0.007,17.751,0.003
0 59 53.350,-33 40 16.600,20.300,0.009,19.410,0.012
1 00 35.870,-33 40 16.600,22.859,0.054,22.377,0.143
1 00 02.900,-33 40 16.800,21.816,0.024,21.292,0.057
1 00 33.760,-33 40 16.900,20.753,0.012,19.947,0.018
0 59 49.060,-33 40 17.100,19.889,0.007,19.064,0.009
1 00 37.560,-33 40 17.200,21.785,0.023,21.320,0.058
0 54 53.120,-33 40 17.700,22.055,0.037,20.893,0.045
0 59 19.380,-33 40 17.800,18.990,0.004,18.029,0.004
1 00 30.490,-33 40 17.800,21.873,0.025,21.388,0.061
1 01 21.550,-33 40 18.000,19.823,0.006,18.960,0.008
1 04 27.730,-33 40 18.000,19.822,0.013,19.241,0.017
0 59 21.420,-33 40 18.100,19.389,0.005,17.207,0.002
1 00 56.600,-33 40 18.200,24.077,0.166,22.356,0.119
1 03 06.480,-33 40 18.200,21.019,0.036,19.130,0.013
0 54 08.830,-33 40 18.300,22.295,0.106,19.140,0.013
0 59 39.760,-33 40 18.300,21.570,0.020,20.948,0.041
1 01 42.470,-33 40 18.300,17.744,0.004,15.714,0.002
0 59 10.130,-33 40 18.400,18.161,0.003,17.145,0.003
1 00 19.460,-33 40 18.600,20.456,0.009,20.087,0.021
1 00 51.940,-33 40 18.700,22.092,0.030,21.429,0.064
1 05 16.280,-33 40 18.800,20.325,0.011,18.447,0.006
0 59 32.560,-33 40 18.900,21.153,0.015,20.393,0.025
0 55 24.630,-33 40 19.000,19.680,0.010,19.186,0.015
0 59 49.430,-33 40 19.000,20.660,0.011,20.099,0.021
1 01 24.530,-33 40 19.000,21.986,0.026,21.375,0.058
0 53 19.010,-33 40 19.100,19.438,0.009,18.719,0.010
1 00 20.980,-33 40 19.100,22.855,0.054,22.609,0.182
0 59 45.040,-33 40 19.500,22.473,0.040,21.761,0.082
1 01 04.070,-33 40 19.500,20.251,0.008,19.588,0.014
0 58 43.980,-33 40 19.600,21.515,0.031,20.836,0.048
0 56 30.690,-33 40 19.700,21.695,0.028,20.935,0.048
0 53 51.900,-33 40 20.000,18.991,0.007,18.256,0.007
0 58 51.650,-33 40 20.000,19.021,0.004,18.033,0.004
0 59 16.460,-33 40 20.000,20.244,0.008,19.955,0.018
0 59 06.000,-33 40 20.200,22.629,0.044,22.380,0.142
0 59 46.310,-33 40 20.200,22.295,0.034,22.121,0.122
1 00 02.410,-33 40 20.200,17.308,0.002,16.136,0.002
1 00 23.710,-33 40 20.500,19.533,0.006,18.601,0.006
0 58 57.020,-33 40 20.600,20.378,0.008,20.346,0.025
0 59 40.860,-33 40 20.600,20.894,0.013,20.119,0.020
1 01 08.510,-33 40 20.700,20.154,0.008,19.945,0.019
0 59 27.540,-33 40 20.900,21.884,0.025,21.268,0.054
1 00 15.490,-33 40 20.900,21.493,0.019,20.832,0.037
0 59 10.980,-33 40 21.000,21.122,0.014,20.667,0.032
1 00 48.980,-33 40 21.000,20.118,0.008,19.580,0.014
1 00 02.230,-33 40 21.100,18.008,0.003,16.900,0.002
1 00 51.420,-33 40 21.100,21.840,0.025,20.994,0.043
1 01 00.310,-33 40 21.100,21.880,0.025,21.220,0.053
0 59 45.710,-33 40 21.200,21.519,0.019,20.840,0.038
0 58 18.290,-33 40 21.500,22.388,0.063,21.951,0.127
0 59 47.140,-33 40 21.500,22.670,0.047,22.073,0.110
1 00 34.490,-33 40 21.500,23.164,0.071,22.356,0.134
0 59 37.080,-33 40 21.700,20.552,0.010,19.714,0.015
0 59 52.120,-33 40 21.700,19.133,0.005,18.230,0.005
0 58 58.720,-33 40 21.800,22.372,0.036,21.783,0.079
1 00 43.820,-33 40 21.800,23.030,0.063,22.310,0.129
1 04 13.470,-33 40 21.800,19.663,0.012,19.072,0.015
0 59 33.970,-33 40 21.900,20.441,0.009,19.565,0.013
0 59 37.610,-33 40 21.900,17.850,0.002,16.778,0.002
1 00 11.720,-33 40 21.900,20.134,0.008,19.589,0.014
0 59 50.600,-33 40 22.100,20.308,0.009,19.545,0.013
1 00 28.440,-33 40 22.100,20.209,0.008,20.118,0.022
0 54 02.340,-33 40 22.300,20.703,0.025,19.515,0.019
0 59 26.680,-33 40 22.300,19.030,0.004,18.180,0.005
1 00 07.040,-33 40 22.300,22.029,0.029,21.293,0.055
1 01 07.840,-33 40 22.400,21.491,0.018,21.686,0.089
0 57 16.830,-33 40 22.800,16.027,0.001,15.201,0.001
0 59 03.160,-33 40 22.800,22.267,0.033,22.012,0.103
1 03 47.990,-33 40 22.800,22.536,0.124,22.218,0.204
0 59 49.700,-33 40 22.900,18.663,0.004,17.599,0.003
0 59 47.430,-33 40 23.100,19.010,0.004,18.134,0.005
0 59 45.940,-33 40 23.200,20.255,0.009,17.994,0.004
1 00 38.330,-33 40 23.200,21.361,0.017,20.604,0.030
1 03 23.450,-33 40 23.400,21.577,0.058,20.254,0.036
1 00 16.610,-33 40 23.500,20.349,0.009,19.507,0.013
0 58 10.090,-33 40 23.700,22.068,0.049,21.455,0.083
0 58 32.420,-33 40 23.800,21.923,0.043,21.493,0.086
1 00 03.500,-33 40 23.800,22.275,0.034,21.744,0.084
1 00 13.120,-33 40 23.800,21.533,0.020,20.792,0.036
0 59 54.080,-33 40 23.900,20.337,0.009,19.478,0.012
0 59 48.230,-33 40 24.000,19.636,0.006,18.757,0.007
0 59 48.630,-33 40 24.100,20.205,0.008,19.659,0.015
1 00 18.990,-33 40 24.100,20.697,0.011,19.988,0.019
1 00 29.680,-33 40 24.200,21.318,0.017,20.747,0.035
0 53 22.260,-33 40 24.300,23.079,0.202,20.722,0.053
0 54 11.660,-33 40 24.400,19.332,0.008,18.706,0.010
0 59 09.960,-33 40 24.400,22.378,0.037,21.944,0.096
0 59 42.450,-33 40 24.500,23.120,0.067,22.592,0.172
0 59 40.430,-33 40 24.600,19.606,0.006,18.741,0.007
1 00 58.310,-33 40 25.100,21.624,0.021,21.003,0.044
1 01 00.330,-33 40 25.100,22.726,0.048,22.729,0.211
1 01 18.280,-33 40 25.100,21.356,0.016,21.312,0.061
0 59 40.890,-33 40 25.300,19.914,0.007,19.050,0.009
0 59 45.520,-33 40 25.300,19.984,0.007,19.143,0.010
1 00 14.350,-33 40 25.300,20.226,0.008,19.532,0.013
1 00 40.080,-33 40 25.300,19.756,0.006,18.897,0.008
0 59 16.520,-33 40 25.400,22.128,0.031,21.486,0.063
0 59 55.310,-33 40 25.500,20.201,0.008,19.522,0.013
1 01 05.280,-33 40 25.700,21.021,0.014,20.182,0.021
1 00 10.080,-33 40 25.800,20.347,0.009,20.332,0.027
1 01 09.930,-33 40 25.800,19.633,0.006,18.983,0.009
0 58 36.150,-33 40 25.900,17.481,0.003,16.073,0.002
1 00 04.570,-33 40 25.900,23.291,0.080,22.394,0.139
1 00 41.080,-33 40 26.100,21.474,0.018,21.605,0.081
0 58 44.070,-33 40 26.200,19.777,0.009,19.414,0.015
1 02 24.690,-33 40 26.300,21.695,0.048,20.558,0.064
1 00 11.140,-33 40 26.400,21.999,0.027,21.626,0.077
1 03 12.320,-33 40 26.500,21.348,0.044,20.870,0.063
0 58 03.410,-33 40 26.700,17.814,0.003,17.353,0.004
0 58 15.670,-33 40 26.700,18.915,0.006,18.016,0.006
0 59 31.670,-33 40 26.700,21.845,0.024,21.216,0.052
0 59 18.240,-33 40 26.800,21.818,0.024,21.241,0.052
1 00 05.760,-33 40 26.800,20.621,0.011,19.800,0.016
1 03 52.810,-33 40 26.800,21.831,0.076,19.781,0.023
0 58 52.730,-33 40 26.900,20.397,0.009,20.376,0.026
1 00 54.830,-33 40 26.900,20.252,0.008,19.405,0.012
1 00 03.460,-33 40 27.000,21.858,0.024,21.998,0.116
1 00 56.230,-33 40 27.100,21.196,0.016,19.979,0.017
0 59 43.270,-33 40 27.200,20.789,0.012,20.051,0.019
0 59 54.210,-33 40 27.200,17.480,0.002,16.205,0.002
1 00 07.780,-33 40 27.200,18.769,0.004,17.905,0.004
0 59 14.270,-33 40 27.300,20.079,0.008,19.345,0.011
1 00 18.470,-33 40 27.600,20.552,0.010,19.731,0.015
1 05 55.610,-33 40 27.600,17.319,0.002,16.562,0.002
0 54 36.190,-33 40 27.700,20.290,0.018,18.509,0.008
1 00 07.240,-33 40 27.800,20.448,0.010,19.490,0.012
1 00 38.950,-33 40 27.900,19.291,0.005,18.350,0.005
1 00 26.520,-33 40 28.100,21.495,0.019,20.777,0.035
1 00 36.190,-33 40 28.100,21.131,0.015,20.343,0.024
0 58 44.070,-33 40 28.200,19.638,0.008,18.990,0.011
0 59 18.020,-33 40 28.300,20.132,0.008,20.006,0.020
1 00 12.060,-33 40 28.400,21.617,0.020,21.387,0.064
1 00 13.920,-33 40 28.500,22.151,0.031,21.535,0.069
1 03 55.250,-33 40 28.500,22.635,0.147,21.089,0.073
0 59 43.050,-33 40 28.800,21.245,0.015,21.508,0.077
0 53 32.270,-33 40 28.900,23.316,0.253,20.287,0.033
0 59 14.830,-33 40 28.900,17.585,0.002,15.657,0.001
0 59 26.870,-33 40 29.000,18.695,0.004,17.766,0.004
1 00 03.130,-33 40 29.000,23.165,0.071,22.364,0.137
1 01 40.410,-33 40 29.200,20.040,0.014,19.137,0.020
1 00 51.750,-33 40 29.300,22.591,0.045,21.916,0.097
0 59 24.240,-33 40 29.500,20.013,0.007,19.859,0.018
0 55 49.410,-33 40 29.700,21.002,0.018,19.768,0.018
0 59 22.790,-33 40 29.700,21.343,0.017,20.580,0.029
0 59 58.440,-33 40 29.700,20.859,0.012,20.043,0.019
0 59 41.540,-33 40 29.800,19.995,0.007,19.102,0.009
1 01 02.650,-33 40 29.800,20.029,0.007,19.524,0.013
0 59 35.140,-33 40 29.900,22.505,0.040,22.032,0.107
0 59 48.330,-33 40 29.900,18.639,0.004,17.676,0.004
0 59 59.800,-33 40 29.900,19.644,0.006,18.777,0.007
0 55 49.730,-33 40 30.000,19.641,0.007,19.109,0.011
0 55 41.050,-33 40 30.100,19.310,0.006,18.948,0.010
0 59 16.680,-33 40 30.200,17.892,0.002,16.714,0.002
1 05 12.190,-33 40 30.400,21.268,0.020,19.665,0.017
1 00 29.440,-33 40 30.500,21.526,0.020,20.715,0.033
0 56 47.420,-33 40 30.600,20.767,0.015,18.939,0.009
0 59 46.640,-33 40 30.600,20.775,0.012,19.962,0.018
0 59 11.490,-33 40 30.700,21.108,0.015,20.356,0.024
0 59 46.400,-33 40 30.700,21.875,0.025,21.264,0.055
1 01 00.670,-33 40 30.800,21.567,0.020,20.778,0.035
1 03 41.670,-33 40 31.000,18.211,0.004,17.671,0.005
1 00 23.980,-33 40 31.200,20.290,0.008,20.165,0.023
1 00 28.970,-33 40 31.200,19.230,0.005,18.245,0.005
0 59 04.050,-33 40 31.400,18.036,0.003,17.004,0.002
